id_artista;id_musica
01a02690-0cc1-721d-98dd-5c691ca1d608;01a02690-22e3-7064-9388-0fcc22b0c106
01a02690-0cc1-721d-98dd-5c691ca1d608;01a02690-22e3-7064-9388-0fcdc26cac01
01a02690-0cc1-721d-98dd-5c691ca1d608;01a02690-22e3-7064-9388-0fce06d1c978
01a02690-0cc1-721d-98dd-5c6a00808dce;01a02690-22e3-7064-9388-0fcffe27dae7
01a02690-0cc1-721d-98dd-5c6b0b5cc271;01a02690-22e3-7064-9388-0fd05b9d3bf6
01a02690-0cc1-721d-98dd-5c6c6bd755bb;01a02690-22e3-7064-9388-0fd184517043
01a02690-0cc1-721d-98dd-5c6d3d84adee;01a02690-22e3-7064-9388-0fd2f69f1606
01a02690-0cc1-721d-98dd-5c6d3d84adee;01a02690-22e3-7064-9388-0fd3e32701d7
01a02690-0cc1-721d-98dd-5c6d3d84adee;01a02690-22e3-7064-9388-0fd4c99a2178
01a02690-0cc1-721d-98dd-5c6d3d84adee;01a02690-22e3-7064-9388-0fd556c52222
01a02690-0cc1-721d-98dd-5c6d3d84adee;01a02690-22e3-7064-9388-0fd644cae712
01a02690-0cc1-721d-98dd-5c6d3d84adee;01a02690-22e3-7064-9388-0fd72e49bd5f
01a02690-0cc1-721d-98dd-5c6d3d84adee;01a02690-22e3-7064-9388-0fd8ed2d5b21
01a02690-0cc1-721d-98dd-5c6efe11bbc0;01a02690-22e3-7064-9388-0fd9eb0d53ff
01a02690-0cc1-721d-98dd-5c6efe11bbc0;01a02690-22e3-7064-9388-0fdae8dafe10
01a02690-0cc1-721d-98dd-5c6f2c3a1bf1;01a02690-22e3-7064-9388-0fdb45859c47
01a02690-0cc1-721d-98dd-5c6f2c3a1bf1;01a02690-22e3-7064-9388-0fdc25a2d5ec
01a02690-0cc1-721d-98dd-5c706c571045;01a02690-22e3-7064-9388-0fdd8c469117
01a02690-0cc1-721d-98dd-5c712e87e49e;01a02690-22e3-7064-9388-0fde1bf3606c
01a02690-0cc1-721d-98dd-5c72dc004b08;01a02690-22e3-7064-9388-0fdfbde7ebef
01a02690-0cc1-721d-98dd-5c73f90d6191;01a02690-22e3-7064-9388-0fe0f6aabf71
01a02690-0cc1-721d-98dd-5c748f78edda;01a02690-22e3-7064-9388-0fe1af6a8c18
01a02690-0cc1-721d-98dd-5c75bbc1e26b;01a02690-22e3-7064-9388-0fe2c5fa6e38
01a02690-0cc1-721d-98dd-5c760e2fb2aa;01a02690-22e3-7064-9388-0fe33f82d3c6
01a02690-0cc1-721d-98dd-5c77fce01202;01a02690-22e3-7064-9388-0fe433bc2b22
01a02690-0cc1-721d-98dd-5c783c51947a;01a02690-22e2-7774-a1a3-e4d2e7cdd23d
01a02690-0cc1-721d-98dd-5c790092579d;01a02690-22e3-7064-9388-0fe515ccf4d0
01a02690-0cc1-721d-98dd-5c7a3012c4af;01a02690-22e3-7064-9388-0fe67e185297
01a02690-0cc1-721d-98dd-5c7b34ed94c1;01a02690-22e3-7064-9388-0fe706f1ff5f
01a02690-0cc1-721d-98dd-5c7b34ed94c1;01a02690-22e3-7064-9388-0fe825664e3f
01a02690-0cc1-721d-98dd-5c7b34ed94c1;01a02690-22e3-7064-9388-0fe93707c70f
01a02690-0cc1-721d-98dd-5c7b34ed94c1;01a02690-22e3-7064-9388-0fea61f46da5
01a02690-0cc1-721d-98dd-5c7c13fc80bc;01a02690-22e3-7064-9388-0fe93707c70f
01a02690-0cc1-721d-98dd-5c7d9de9ad63;01a02690-22e3-7064-9388-0feb65b711a5
01a02690-0cc1-721d-98dd-5c7d9de9ad63;01a02690-22e3-7064-9388-0fec8003d9a0
01a02690-0cc1-721d-98dd-5c7d9de9ad63;01a02690-22e3-7064-9388-0fedbb2afa6c
01a02690-0cc1-721d-98dd-5c7e447a583d;01a02690-22e3-7064-9388-0feeb0b91fdf
01a02690-0cc1-721d-98dd-5c7fee646c9f;01a02690-22e3-7064-9388-0fef3ab1bc46
