TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
G2DI33;1,16;;-1,22;0,22;0,20;100,00;114,25;121,69;-1,30;-1,89;-0,59;0,10;;-8,86;-0,20;0,21;-17,98;-16,18;-15,27;0,90;0,10;-0,13;;;28.797,95;5,27;-0,95;-0,01;133.465.410,08
GBIO33;10,40;;-14,97;1,32;0,79;43,48;3,79;-10,14;40,09;47,57;7,48;0,25;1,52;7,57;-1,43;1,31;-8,83;-5,29;-0,10;0,60;0,40;0,52;12,83;;;7,86;-0,69;0,06;1.108.871.982,40
GEPA3;36,00;14,20;10,98;2,51;0,83;43,01;39,44;22,28;6,20;8,11;1,91;0,77;2,45;-2,90;-0,95;0,31;22,84;7,52;12,69;0,33;0,67;0,34;1,08;3,88;240,00;14,35;3,28;0,77;3.399.598.188,00
GEPA4;36,00;11,28;10,98;2,51;0,83;43,01;39,44;22,28;6,20;8,11;1,91;0,77;2,45;-2,90;-0,95;0,31;22,84;7,52;12,69;0,33;0,67;0,34;1,08;3,88;8.497,65;14,35;3,28;0,77;3.399.598.188,00
GETT11;10,00;;31,44;5,16;0,34;41,43;18,41;17,71;30,25;;0,99;0,17;5,57;13,05;-8,16;1,03;16,41;1,07;7,88;0,07;0,93;0,06;;;0,00;1,94;0,32;0,28;
GETT3;2,40;;7,55;1,24;0,08;41,43;18,41;17,71;7,26;;0,99;0,17;1,34;3,13;-1,96;1,03;16,41;1,07;7,88;0,07;0,93;0,06;;;;1,94;0,32;0,07;
GETT4;2,40;;7,55;1,24;0,08;41,43;18,41;17,71;7,26;;0,99;0,17;1,34;3,13;-1,96;1,03;16,41;1,07;7,88;0,07;0,93;0,06;;;;1,94;0,32;0,07;
GFSA3;1,26;;-0,05;0,02;0,01;-37,28;-81,85;-124,05;-0,08;-3,66;-3,58;0,94;0,06;0,05;-0,01;1,31;-39,87;-12,93;-13,56;0,32;0,68;0,10;-6,86;;1.817.700,00;62,54;-24,94;0,00;30.890.084,40
GGBR3;18,46;3,68;22,35;0,69;0,45;12,02;6,05;2,37;8,75;11,62;1,97;0,16;0,53;2,01;-0,70;2,76;3,11;2,02;4,41;0,65;0,35;0,85;9,78;-7,07;580.887,57;26,58;0,83;-0,45;40.399.313.807,34
GGBR4;21,42;3,17;25,93;0,81;0,52;12,02;6,05;2,37;10,16;11,62;1,97;0,16;0,61;2,33;-0,81;2,76;3,11;2,02;4,41;0,65;0,35;0,85;9,78;-7,07;230.735.436,23;26,58;0,83;-0,52;40.399.313.807,34
GGPS3;11,84;2,74;13,48;2,16;0,57;14,66;8,23;3,74;6,13;7,77;1,64;0,58;0,50;1,46;-1,31;3,24;16,03;4,23;11,42;0,26;0,73;1,13;28,45;18,51;34.796.372,29;5,48;0,88;-16,22;8.907.829.766,08
GMAT3;3,87;3,07;5,15;0,82;0,36;22,39;5,32;4,38;4,24;4,59;0,35;0,07;0,23;1,66;-0,76;1,71;15,83;7,00;10,52;0,44;0,52;1,60;25,39;18,99;17.533.333,67;4,75;0,75;0,21;8.915.290.238,16
GNDI3;66,95;;-3.584,81;5,84;2,38;18,55;3,28;-0,10;104,45;109,34;4,90;0,27;3,42;79,65;-3,01;1,17;-0,16;-0,07;2,22;0,41;0,59;0,69;29,03;;;11,47;-0,02;35,34;41.526.443.086,05
GOAU3;8,57;4,67;19,74;0,60;0,14;12,02;6,04;0,83;2,72;4,87;1,97;0,43;0,16;0,62;-0,22;2,76;3,04;0,71;4,32;0,23;0,35;0,85;9,78;-8,01;334.983,90;14,28;0,43;-0,41;12.133.898.935,48
GOAU4;9,50;4,21;21,88;0,67;0,16;12,02;6,04;0,83;3,01;4,87;1,97;0,43;0,18;0,69;-0,24;2,76;3,04;0,71;4,32;0,23;0,35;0,85;9,78;-8,01;82.357.847,57;14,28;0,43;-0,45;12.133.898.935,48
GOLL54;9,75;;-68.484,87;-5.256,20;3.349,30;27,24;8,33;-5,90;48.540,32;6.379,51;6,88;;4.043,20;-16.688,97;-4.976,66;0,62;-7,67;-4,89;-171,09;-0,64;1,64;0,83;28,24;;20.388,00;0,00;0,00;872,51;11.732.704.010.232,77
GPAR3;12,00;12,63;-32,37;1,62;1,28;53,48;-314,84;-84,31;-8,67;-6,69;1,98;-0,37;27,29;9,25;-1,96;1,66;-5,00;-3,94;-27,43;0,79;0,21;0,05;-31,17;;800,00;7,41;-0,37;0,28;956.118.024,00
GPIV33;4,42;;-2,31;0,23;0,12;100,00;346,80;157,05;-1,04;0,25;1,29;-0,28;;0,89;-0,15;3,34;-9,85;-5,19;-13,20;0,53;0,14;-0,03;;;308.564,00;19,47;-1,92;0,01;299.388.200,54
