id_musica;musica;media_pontos;media_pts_ganho;total_pts_calc
01a026ec-82ec-73ac-ae5b-8e57482bf54a;Holy Blindfold;2833.0;2833.0;0.049
01a026ec-82ec-73ac-ae5b-8e58c475369e;It Depends;2714.0;2714.0;0.124
01a026ec-82ec-73ac-ae5b-8e59459d9686;Just the Bro;1503.0;1503.0;0.002
01a026ec-82ec-73ac-ae5b-8e5ae7a48270;Man On A Mission;1134.0;1134.0;0.001
01a026ec-82ec-73ac-ae5b-8e5ba082fe66;Nthn2tlkbout;1210.0;1210.0;0.001
01a026ec-82ec-73ac-ae5b-8e5c303eeadb;Obvious;2601.6;760.0;0.048
01a026ec-82ec-73ac-ae5b-8e5dda1ab93f;wgft;1346.0;1169.0;0.004
01a026ec-82ec-73ac-ae5b-8e5e04fec5e1;Wicked Game;1446.0;190.71428571428572;17.527
01a026ec-82ec-73ac-ae5b-8e5f51fbd800;Lifelines;1384.0;1192.0;0.005
01a026ec-82ec-73ac-ae5b-8e60995585ed;Stumblin' In;1401.2727272727273;422.90909090909093;29.948
01a026ec-82ec-73ac-ae5b-8e61a3bb05b4;A Song To Sing;1142.0;666.0;0.098
01a026ec-82ec-73ac-ae5b-8e622610bb7c;Here;1593.15;164.8;1.078
01a026ec-82ec-73ac-ae5b-8e639c1dfeeb;Tennessee Whiskey;1245.5;279.11764705882354;120.584
01a026ec-82ec-73ac-ae5b-8e6444f2c40f;Bad Company;1613.0;1613.0;0.006
01a026ec-82ec-73ac-ae5b-8e656c4275a2;Down The Road;2453.6666666666665;369.0;0.051000000000000004
01a026ec-82ec-73ac-ae5b-8e6669830f10;Instigator;1616.0;1616.0;0.006
01a026ec-82ec-73ac-ae5b-8e679baa556d;Still By The Roadside;1442.0;554.0;0.004
01a026ec-82ec-73ac-ae5b-8e68a3c55b73;Echoes of You;1395.6666666666667;390.0;0.018000000000000002
01a026ec-82ec-73ac-ae5b-8e69d656154b;Erkläre mir die Liebe;1751.857142857143;157.14285714285714;0.106
01a026ec-82ec-73ac-ae5b-8e6a7f2895e0;Das neue Jahr;1241.0;1241.0;0.004
01a026ec-82ec-73ac-ae5b-8e6b1be4f490;Call Me, Beep Me;1432.0;1432.0;0.016
01a026ec-82ec-73ac-ae5b-8e6c3831fddd;A Thousand Years;1812.787234042553;159.79432624113474;1161.064
01a026ec-82ec-73ac-ae5b-8e6de829b476;50 ans déjà;1122.0;1122.0;0.013
01a026ec-82ec-73ac-ae5b-8e6ee053c618;La boutique des rêves;1363.5;240.0;0.008
01a026ec-82ec-73ac-ae5b-8e6f63f46fea;La lune;1270.5;314.7142857142857;1.082
01a026ec-82ec-73ac-ae5b-8e704a2facea;Sailing;1158.5;310.0;0.237
01a026ec-82ec-73ac-ae5b-8e714e5885e5;Endless Showtime;1291.0;1291.0;0.001
01a026ec-82ec-73ac-ae5b-8e72ee55d3b2;Gasoline;1097.0;302.0;0.002
01a026ec-82ec-73ac-ae5b-8e73245e1039;The Wise Man's Song;1042.6666666666667;127.33333333333333;0.014
01a026ec-82ec-73ac-ae5b-8e74854a27c9;In a Lifetime;1446.6666666666667;310.3333333333333;0.01
01a026ec-82ec-73ac-ae5b-8e75ba214424;Theme from Harry's Game;2738.777777777778;120.77777777777777;0.14200000000000002
01a026ec-82ec-73ac-ae5b-8e7690598943;Die Liebe meines Lebens;1030.0;1030.0;0.001
01a026ec-82ec-73ac-ae5b-8e77fb1d1b02;Free Your Mind;1410.2631578947369;147.91228070175438;8.678
01a026ec-82ec-73ac-ae5b-8e78ec5956a9;Ballon;1501.1666666666667;251.5;0.035
01a026ec-82ec-73ac-ae5b-8e79c3309511;Immer wenn du nicht da bist;1340.0;334.0;0.009000000000000001
01a026ec-82ec-73ac-ae5b-8e7a8be3a8a0;Minimum;1039.0;416.5;0.032
